,name,color,specie,strain,type,PCN,MIC,conj_rate,VKm,rho,seg_rate,kappa
1,PF_EC01,#d60000,E,C001,TC,1.41,64.0,nan,4.9e-10,984410100.0,0.02,0.00048828125
2,PF_EC02,#018700,E,C002,TC,1.3351,8192.0,nan,7.6e-10,550386500.0,0.02,0.0625
3,PF_EC03,#b500ff,E,C006,TC,2.2371,6144.0,nan,7.6e-10,890018480.0,0.02,0.0625
4,PF_EC04,#05acc6,E,C011,TC,1.41,64.0,nan,8.37e-10,776372125.0,0.02,0.00048828125
5,PF_EC05,#97ff00,E,C012,TC,1.0487,6144.0,nan,6.3e-10,772746800.0,0.02,0.0625
6,PF_EC06,#ffa52f,E,C021,TC,1.3982,6144.0,nan,6.85e-10,951797835.0,0.02,0.0625
7,PF_EC07,#ff8ec8,E,C022,TC,1.0054,6144.0,nan,3.79e-10,1039553000.0,0.02,0.0625
8,PF_EC08,#79525e,E,C031,TC,1.41,64.0,nan,5.3e-10,1049748250.0,0.02,0.00048828125
9,PF_EC09,#00fdcf,E,C051,TC,1.41,512.0,nan,6.61e-10,919455570.0,0.02,0.00390625
10,PF_EC10,#afa5ff,E,C063,TC,0.3899,3072.0,nan,5.66e-10,1071282240.0,0.02,0.03125
11,PF_EC11,#93ac83,E,C094,TC,1.8176,3072.0,nan,7.25e-10,506376720.0,0.02,0.03125
12,PF_EC12,#9a6900,E,C107,TC,1.41,6144.0,nan,5.19e-10,909351360.0,0.02,0.0625
13,PF_EC13,#366962,E,C115,TC,1.41,1024.0,nan,6.83e-10,852762400.0,0.02,0.0078125
14,PF_EC14,#d3008c,E,C131,TC,1.018,8192.0,nan,6.52e-10,658875870.0,0.02,0.0625
15,PF_EC15,#fdf490,E,C141,TC,1.41,64.0,nan,6.32e-10,910625085.0,0.02,0.00048828125
16,PF_EC16,#c86e66,E,C201,TC,1.229,8192.0,nan,4.91e-10,1121715175.0,0.02,0.0625
17,PF_EC17,#9ee2ff,E,C227,TC,1.41,1024.0,nan,6.09e-10,829839885.0,0.02,0.0078125
18,PF_EC18,#00c846,E,C232,TC,1.41,8192.0,nan,6.66e-10,896279000.0,0.02,0.0625
19,PF_EC19,#a877ac,E,C247,TC,1.41,6144.0,nan,6.08e-10,981178440.0,0.02,0.0625
20,PF_EC20,#b8ba01,E,C261,TC,2.0562,3072.0,nan,5.03e-10,1023899110.0,0.02,0.03125
21,PF_EC21,#f4bfb1,E,C286,TC,1.1712,8192.0,nan,5.55e-10,1020861240.0,0.02,0.0625
22,PF_EC22,#ff28fd,E,C290,TC,0.9955,6144.0,nan,6.15e-10,973553775.0,0.02,0.0625
23,PF_EC23,#f2cdff,E,C302,TC,2.2764,4096.0,nan,5.44e-10,963507440.0,0.02,0.03125
24,PF_EC24,#009e7c,E,C309,TC,2.0432,4096.0,nan,6.01e-10,1008177000.0,0.02,0.03125
25,PF_EC25,#ff6200,E,C324,TC,1.0923,512.0,nan,6.78e-10,923683310.0,0.02,0.00390625
26,PF_KPN01,#56642a,K,K037,TC,1.0987,16384.0,nan,4.84e-10,874624680.0,0.02,0.125
27,PF_KPN02,#953f1f,K,K038,TC,2.12,28672.0,nan,6.64e-10,790525320.0,0.02,0.25
28,PF_KPN03,#90318e,K,K087,TC,2.3791,28672.0,nan,4.8e-10,963921625.0,0.02,0.25
29,PF_KPN04,#ff3464,K,K091,TC,1.2976,5120.0,nan,4.84e-10,928785250.0,0.02,0.0625
30,PF_KQ01,#a0e491,K,K112,TC,2.12,65536.0,nan,4.67e-10,1077144250.0,0.02,0.5
31,PF_KPN05,#8c9ab1,K,K114,TC,2.12,32768.0,nan,5.15e-10,930268430.0,0.02,0.25
32,PF_KPN06,#829026,K,K125,TC,1.5515,32768.0,nan,5.24e-10,895220040.0,0.02,0.25
33,PF_KPN07,#ae083f,K,K141,TC,2.12,32768.0,nan,4.5e-10,868235300.0,0.02,0.25
34,PF_KPN08,#77c6ba,K,K168,TC,3.0628,10240.0,nan,7.16e-10,821104625.0,0.02,0.0625
35,PF_KPN09,#bc9157,K,K177,TC,1.7607,10240.0,nan,6.21e-10,806377220.0,0.02,0.125
36,PF_KQ02,#e48eff,K,K200,TC,1.5049,65536.0,nan,4.71e-10,1006026970.0,0.02,0.5
37,PF_KQ03,#72b8ff,K,K201,TC,1.413,14336.0,nan,7.9e-10,670852800.0,0.02,0.125
38,PF_KPN10,#c6a5c1,K,K209,TC,2.12,65536.0,nan,4.83e-10,799000500.0,0.02,0.5
39,PF_KPN11,#ff9070,K,K213,TC,6.8543,65536.0,nan,5.38e-10,971040840.0,0.02,0.5
40,PF_KQ04,#d3c37c,K,K216,TC,1.2603,24576.0,nan,5.74e-10,756823200.0,0.02,0.25
41,PF_KV01,#bceddb,K,K224,TC,5.032,1024.0,nan,4.87e-10,962971440.0,0.02,0.0078125
42,PF_KPN12,#6b8567,K,K225,TC,1.8173,14336.0,nan,5.44e-10,963507440.0,0.02,0.125
43,PF_KPN13,#916e56,K,K241,TC,2.144,28672.0,nan,7.09e-10,919480800.0,0.02,0.25
44,PF_KPN14,#6390B8,K,K248,TC,2.12,65536.0,nan,4.16e-10,899412800.0,0.02,0.5
45,PF_KPN15,#bac1df,K,K249,TC,1.9635,32768.0,nan,6.24e-10,885352000.0,0.02,0.25
46,PF_KPN16,#ac567c,K,K253,TC,0.2286,1024.0,nan,5.39e-10,852339750.0,0.02,0.0078125
47,PF_KPN17,#ffcd03,K,K257,TC,2.12,10240.0,nan,4.14e-10,1037138630.0,0.02,0.125
48,PF_KPN18,#ff49b1,K,K275,TC,2.0974,14336.0,nan,6.91e-10,717336800.0,0.02,0.125
49,PF_KPN19,#c15603,K,K285,TC,1.6887,8192.0,nan,5.58e-10,831874350.0,0.02,0.0625
50,PF_KPN20,#5d8c90,K,K300,TC,2.6641,8192.0,nan,4.86e-10,1022394100.0,0.02,0.0625
51,PF_EC01,#d60000,E,C001,WT,nan,32.0,nan,5.28e-10,877563800.0,nan,0.000244140625
52,PF_EC02,#018700,E,C002,WT,nan,32.0,nan,6.65e-10,678608700.0,nan,0.000244140625
53,PF_EC03,#b500ff,E,C006,WT,nan,16.0,nan,6.54e-10,815145500.0,nan,0.0001220703125
54,PF_EC04,#05acc6,E,C011,WT,nan,32.0,nan,6.58e-10,770241720.0,nan,0.000244140625
55,PF_EC05,#97ff00,E,C012,WT,nan,16.0,nan,7.83e-10,641598800.0,nan,0.0001220703125
56,PF_EC06,#ffa52f,E,C021,WT,nan,32.0,nan,6.84e-10,656675000.0,nan,0.000244140625
57,PF_EC07,#ff8ec8,E,C022,WT,nan,64.0,nan,4.15e-10,1013229000.0,nan,0.00048828125
58,PF_EC08,#79525e,E,C031,WT,nan,32.0,nan,5.05e-10,989976790.0,nan,0.000244140625
59,PF_EC09,#00fdcf,E,C051,WT,nan,16.0,nan,7.31e-10,869367480.0,nan,0.0001220703125
60,PF_EC10,#afa5ff,E,C063,WT,nan,64.0,-12.064055,7.37e-10,847214190.0,nan,0.00048828125
61,PF_EC11,#93ac83,E,C094,WT,nan,32.0,nan,7.25e-10,648293760.0,nan,0.000244140625
62,PF_EC12,#9a6900,E,C107,WT,nan,64.0,-11.126114,4.81e-10,976793400.0,nan,0.00048828125
63,PF_EC13,#366962,E,C115,WT,nan,16.0,nan,7.71e-10,793248600.0,nan,0.0001220703125
64,PF_EC14,#d3008c,E,C131,WT,nan,8.0,nan,8.36e-10,749981880.0,nan,6.103515625e-05
65,PF_EC15,#fdf490,E,C141,WT,nan,64.0,nan,7e-10,852787560.0,nan,0.00048828125
66,PF_EC16,#c86e66,E,C201,WT,nan,32.0,-10.16414,5.55e-10,1040166000.0,nan,0.000244140625
67,PF_EC17,#9ee2ff,E,C227,WT,nan,8.0,nan,6.37e-10,864736125.0,nan,6.103515625e-05
68,PF_EC18,#00c846,E,C232,WT,nan,32.0,nan,6.94e-10,624968240.0,nan,0.000244140625
69,PF_EC19,#a877ac,E,C247,WT,nan,16.0,nan,6.2e-10,942350750.0,nan,0.0001220703125
70,PF_EC20,#b8ba01,E,C261,WT,nan,32.0,nan,5.3e-10,913294200.0,nan,0.000244140625
71,PF_EC21,#f4bfb1,E,C286,WT,nan,64.0,-11.554333,4.9e-10,838648200.0,nan,0.00048828125
72,PF_EC22,#ff28fd,E,C290,WT,nan,16.0,nan,6.62e-10,988554642.5,nan,0.0001220703125
73,PF_EC23,#f2cdff,E,C302,WT,nan,64.0,nan,5.19e-10,909351360.0,nan,0.00048828125
74,PF_EC24,#009e7c,E,C309,WT,nan,64.0,nan,4.81e-10,976793400.0,nan,0.00048828125
75,PF_EC25,#ff6200,E,C324,WT,nan,128.0,-11.048159,5.47e-10,1003583625.0,nan,0.0009765625
76,PF_KPN01,#56642a,K,K037,WT,nan,128.0,-14.6,3.65e-10,867332600.0,nan,0.0009765625
77,PF_KPN02,#953f1f,K,K038,WT,nan,64.0,-10.444337,6.35e-10,795186480.0,nan,0.00048828125
78,PF_KPN03,#90318e,K,K087,WT,nan,128.0,nan,3.69e-10,997483205.0,nan,0.0009765625
79,PF_KPN04,#ff3464,K,K091,WT,nan,32.0,nan,4.3e-10,893634640.0,nan,0.000244140625
80,PF_KQ01,#a0e491,K,K112,WT,nan,128.0,-10.341295,5.49e-10,994807880.0,nan,0.0009765625
81,PF_KPN05,#8c9ab1,K,K114,WT,nan,256.0,nan,5.15e-10,851305095.0,nan,0.001953125
82,PF_KPN06,#829026,K,K125,WT,nan,128.0,nan,5.66e-10,774183375.0,nan,0.0009765625
83,PF_KPN07,#ae083f,K,K141,WT,nan,124.0,nan,3.79e-10,945803600.0,nan,0.0009765625
84,PF_KPN08,#77c6ba,K,K168,WT,nan,64.0,nan,4.33e-10,718807230.0,nan,0.00048828125
85,PF_KPN09,#bc9157,K,K177,WT,nan,128.0,-10.333868,7.3e-10,777162300.0,nan,0.0009765625
86,PF_KQ02,#e48eff,K,K200,WT,nan,128.0,nan,5.22e-10,1006425550.0,nan,0.0009765625
87,PF_KQ03,#72b8ff,K,K201,WT,nan,128.0,nan,7.2e-10,632808100.0,nan,0.0009765625
88,PF_KPN10,#c6a5c1,K,K209,WT,nan,64.0,-14.4,4.47e-10,796717300.0,nan,0.00048828125
89,PF_KPN11,#ff9070,K,K213,WT,nan,256.0,-9.840598,5.62e-10,849012300.0,nan,0.001953125
90,PF_KQ04,#d3c37c,K,K216,WT,nan,64.0,-10.208111,8.67e-10,660056000.0,nan,0.00048828125
91,PF_KV01,#bceddb,K,K224,WT,nan,64.0,nan,4.26e-10,989556360.0,nan,0.00048828125
92,PF_KPN12,#6b8567,K,K225,WT,nan,128.0,-10.294705,6.01e-10,1008177000.0,nan,0.0009765625
93,PF_KPN13,#916e56,K,K241,WT,nan,128.0,nan,7.36e-10,720565340.0,nan,0.0009765625
94,PF_KPN14,#6390B8,K,K248,WT,nan,64.0,-10.486294,5.83e-10,730585600.0,nan,0.00048828125
95,PF_KPN15,#bac1df,K,K249,WT,nan,256.0,nan,7.49e-10,891693375.0,nan,0.001953125
96,PF_KPN16,#ac567c,K,K253,WT,nan,16.0,-12.830229,4.36e-10,846491600.0,nan,0.0001220703125
97,PF_KPN17,#ffcd03,K,K257,WT,nan,64.0,nan,4e-10,978606100.0,nan,0.00048828125
98,PF_KPN18,#ff49b1,K,K275,WT,nan,256.0,nan,4.98e-10,995420300.0,nan,0.001953125
99,PF_KPN19,#c15603,K,K285,WT,nan,128.0,nan,6.08e-10,773936415.0,nan,0.0009765625
100,PF_KPN20,#5d8c90,K,K300,WT,nan,32.0,nan,4.29e-10,1046281860.0,nan,0.000244140625
